,name,status,mass,targets
DB03623,"9-(4-Hydroxyphenyl)-2,7-Phenanthroline",experimental,272.3007,1
DB03624,7-(Carboxyamino)-8-Amino-Nonanoic Acid,experimental,232.2768,1
DB03626,"5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione",experimental,311.3319,1
DB03627,Adamantane,experimental,136.234,1
DB03628,ISO24,experimental,229.1696,1
DB03629,Pyridoxal-5'-Phosphate-N-Oxide,experimental,263.1413,1
DB03630,2-Iodobenzylthio Group,experimental,250.1,0
DB03631,"3-(4-Hydroxy-3-Imino-6-Oxo-Cyclohexa-1,4-Dienyl)-Alanine",experimental,210.1867,1
DB03632,Argifin,experimental,675.7,2
DB03633,Lpc-Ether,experimental,510.7076,2
DB03634,"1,3-Di(N-Propyloxy-a-Mannopyranosyl)-Carbomyl 5-Methyazido-Benzene",experimental,659.6395,0
DB03635,Ethanesulfonic Acid,experimental,110.132,2
DB03636,Glycinamid,experimental,74.0818,1
DB03637,Guanidine-3-Propanol,experimental,118.1576,1
DB03638,Cytidyl-2'-5'-Phospho-Guanosine,experimental,588.422,0
DB03639,1-Guanidinium-7-Aminoheptane,experimental,174.2871,1
DB03640,Beta-Hydroxyaspartic Acid,experimental,149.1021,1
DB03641,"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate",experimental,387.177,1
DB03642,Benzofuran-2-Carboxylic Acid {(S)-3-Methyl-1-[3-Oxo-1-(Pyridin-2-Ylsulfonyl)Azepan-4-Ylcarbamoyl]Butyl}Amide,experimental,526.605,1
DB03643,CRA_1144,experimental,252.2713,2
DB03644,3-hydroxyanthranilic acid,experimental,153.1354,1
DB03645,Phosphonoacetohydroxamic Acid,experimental,155.0465,1
DB03646,"2,3-di-O-phytanyl-sn-glycerol",experimental,653.157,0
DB03647,3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid,experimental,379.472,1
DB03648,2-{N'-[2-(5-Amino-1-Phenylcarbamoyl-Pentylcarbamoyl)-Hexyl]-Hydrazinomethyl}-Hexanoic Acid(5-Amino-1-Phenylcarbamoyl-Pentyl)-Amide,experimental,694.9501,1
DB03649,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",experimental,302.546,1
DB03650,(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,experimental,238.2414,1
DB03651,Picric acid,experimental,229.1039,1
DB03652,beta-D-Galactopyranuronic acid,experimental,194.1394,2
DB03653,"5-{[Ethyl(Methyl)Amino]Methyl}-2-Methyl-5,6-Dihydropyrimidin-4-Amine",experimental,180.2501,0
DB03654,"S,S-Propylthiocysteine",experimental,179.304,2
DB03656,Tribenuron Methyl,experimental,395.39,0
DB03657,1-Deoxy-1-Methoxycarbamido-Beta-D-Glucopyranose,experimental,237.2072,1
DB03658,"2-{1-[2-Amino-2-(4-Hydroxy-Phenyl)-Acetylamino]-2-Oxo-Ethyl}-5,5-Dimethyl-Thiazolidine-4-Carboxylic Acid",experimental,367.42,1
DB03659,Butylamine,experimental,73.1368,1
DB03660,4-Iodo-L-phenylalanine,experimental,291.0857,4
DB03661,Cysteinesulfonic Acid,experimental,169.156,15
DB03662,Vitamin B6 Complexed with 2-Amino-Pentanoic Acid,experimental,348.2888,1
DB03663,"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol",experimental,235.2425,1
DB03664,UP5,experimental,893.3269,1
DB03666,3'-Azido-3'-Deoxythymidine-5'-Monophosphate,experimental,347.2212,2
DB03667,Acetic Acid Salicyloyl-Amino-Ester,experimental,195.1721,1
DB03668,1-(5'-Phospho-Beta-D-Ribofuranosyl)Barbituric Acid,experimental,340.1807,1
DB03669,4-Fluorophenethyl Alcohol,experimental,140.1549,1
DB03670,"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",experimental,270.262,1
DB03671,"4-(3,12,14-Trihydroxy-10,13-Dimethyl-Hexadecahydro-Cyclopenta[a]Phenanthren-17-Yl)-5h-Furan-2-One",experimental,390.5131,0
DB03672,9-N-Phenylmethylamino-Tacrine,experimental,288.3862,1
DB03673,Beta(2-Thienyl)Alanine,experimental,171.217,1
DB03675,"2,3-Dihydroxy-Valerianic Acid",experimental,148.1571,0
DB03676,Cystein-S-Yl Cacodylate,experimental,241.14,2
DB03677,N-Cyclohexyl-N'-Decylurea,experimental,282.4647,1
DB03678,"(6,7-Difluoro-Quinazolin-4-Yl)-(1-Methyl-2,2-Diphenyl-Ethyl)-Amine",experimental,375.4139,0
DB03679,2-Hydroxy-Tryptophan,experimental,220.2246,1
DB03680,Tartronate,experimental,118.045,2
DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid",experimental,256.2103,0
DB03683,2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid,experimental,189.209,1
DB03685,Uridine monophosphate,experimental,324.1813,13
DB03686,S-(P-Nitrobenzyl)Glutathione,experimental,442.444,1
DB03687,4-Diphosphocytidyl-2-C-Methyl-D-Erythritol,experimental,521.3075,3
DB03688,3-Hydroxy-Propanoic Acid,experimental,90.0779,1
DB03690,"(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide",experimental,787.1214,1
DB03691,WRR-112,experimental,364.436,2
DB03692,1-Hexadecanosulfonyl-O-L-Serine,experimental,393.582,1
DB03693,N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,experimental,285.75,1
DB03694,N-Phenylthiourea,experimental,152.217,0
DB03695,Piritrexim,investigational,325.3651,1
DB03696,Lanosterol,experimental,426.7174,1
DB03697,4-Sulfonamide-[1-(4-Aminobutane)]Benzamide,experimental,271.336,1
DB03698,5-Mercaptoethanol-2-Decenoyl-Coenzyme A,experimental,994.877,1
DB03699,Succinyl-Coenzyme A,experimental,867.607,1
DB03700,D-Threonine,experimental,119.1192,1
DB03701,Vanoxerine,investigational,450.574,1
DB03702,"2-[4-[[(S)-1-[[(S)-2-[[(Rs)-3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl]Aminocarbonyl]Pyrrolidin-1-Yl-]Carbonyl]-2-Methylpropyl]Aminocarbonyl]Benzoylamino]Acetic Acid",experimental,570.558,1
DB03703,Cyclohexanol,experimental,100.1589,1
DB03704,12-Hydroxydodecanoic Acid,experimental,216.3172,1
DB03705,6-Methylamino-5-Nitroisocytosine,experimental,185.1408,1
DB03706,1-Hydroxy-2-S-Glutathionyl-3-Para-Nitrophenoxy-Propane,experimental,502.496,1
DB03707,S-Ethyl-N-Phenyl-Isothiourea,experimental,180.27,2
DB03708,Adenosine 5'-phosphosulfate,experimental;investigational,427.284,2
DB03709,Bicine,experimental,163.1717,3
DB03710,N5-(1-Imino-3-Butenyl)-L-Ornithine,experimental,202.274,1
DB03711,6-Hydroxy-6-Methyl-Heptan-3-One,experimental,144.2114,1
DB03712,RU85053,experimental,585.6469,1
DB03714,4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid,experimental,430.2966,1
DB03716,5'-Fluoro-5'-Deoxyadenosine,experimental,269.236,1
DB03717,"3-Hydroxy-4-(3,4,5-Trihydroxy-Tetrahydro-Pyran-2-Yloxy)-Piperidin-2-One",experimental,263.2445,1
DB03718,6-Aza-Ump,experimental,325.1693,0
DB03719,N-Ethyl-5'-Carboxamido Adenosine,experimental,308.2932,1
DB03720,Z-Dehydrobutyrine,experimental,101.1039,0
DB03721,N-acetyl-alpha-neuraminic acid,experimental,309.2699,18
DB03722,"3,4-Dihydro-5-Methyl-Isoquinolinone",experimental,161.2004,1
DB03723,2'-Deoxy-Thymidine-Beta-L-Rhamnose,experimental,548.3296,2
DB03724,"(1s,2s)-1-Amino-1-(1,3-Thiazol-2-Yl)Propan-2-Ol",experimental,158.221,0
DB03725,Phosphomethylphosphonic Acid-Guanylate Ester,experimental,521.2076,1
DB03726,Purine Riboside-5'-Monophosphate,experimental,332.2066,1
DB03727,Coproporphyrin I,experimental,654.7089,1
DB03728,p-Chlorobenzoic acid,experimental,156.566,1
DB03729,2-Amino-5-Hydroxy-Benzimidazole,experimental,149.15,1
DB03730,"3,9-Dimethyladenine",experimental,164.1878,1
DB03731,S-2-(Boronoethyl)-L-Cysteine,experimental,210.036,2
DB03732,Etheno-Nadp,experimental,663.317,1
DB03733,Ethylene Dichloride,experimental,98.959,1
DB03734,Xylarohydroxamate,experimental,194.12,1
DB03735,9-(2-Deoxy-Beta-D-Ribofuranosyl)-6-Methylpurine,experimental,250.2539,1
DB03736,2-Cyclopropylmethylenepropanal,experimental,112.1696,1
DB03737,"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One",experimental,385.3889,1
DB03738,Pantothenoylaminoethenethiol,experimental,276.353,1
DB03739,3-Hydroxyimino Quinic Acid,experimental,205.1653,1
DB03740,N-acetyl-alpha-D-glucosamine,experimental,221.2078,9
DB03741,2-Methylbutanoic Acid,experimental,102.1317,1
DB03742,Compound 4-D,experimental,463.588,1
DB03744,"Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate",experimental,425.865,1
DB03745,Arabinose-5-phosphate,experimental,232.1257,2
DB03746,"3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate",experimental,172.1586,1
DB03747,"3ar,5r,6s,7r,7ar-5-Hydroxymethyl-2-Methyl-5,6,7,7a-Tetrahydro-3ah-Pyrano[3,2-D]Thiazole-6,7-Diol",experimental,219.258,2
DB03748,Methyl-[4-(4-Piperidine-1-Ylmethyl-Phenyl)-Cyclohexyl]-Carbaminic Acid-(4-Chlorophenyl)-Ester,experimental,441.005,1
DB03749,"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole",experimental,270.2866,1
DB03750,Isovaleric Acid,experimental,102.1317,3
DB03751,2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose,experimental,564.329,5
DB03752,P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid,experimental,386.205,1
DB03753,Flurbiprofen Methyl Ester,experimental,258.2875,1
DB03754,Tromethamine,approved,121.135,13
DB03755,"Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate",experimental,585.1881,1
DB03756,Doconexent,approved;investigational,328.4883,6
DB03757,(Tert-Butyloxycarbonyl)-Alanyl-Alanyl-Amine,experimental,259.3021,1
DB03758,Radicicol,experimental,364.777,5
DB03759,FG-9041,experimental,252.142,1
DB03760,Dihydrolipoic Acid,experimental,208.341,4
DB03761,5-Fluoro-2'-Deoxyuridine-5'-Monophosphate,experimental,326.1723,4
DB03763,5-Methyl-2'-Deoxypseudouridine,experimental,242.2286,1
DB03764,4-Hydroperoxy-2-Methoxy-Phenol,experimental,156.136,0
DB03765,2'-cytidylic acid,experimental,323.1965,1
DB03766,Propanoic acid,approved;vet_approved,74.0785,4
DB03767,Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide,experimental,402.4873,1
DB03768,"N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3",experimental,573.744,1
DB03769,D-Eritadenine,experimental,253.2147,1
DB03770,N-Hydroxyguanidine,experimental,75.0699,0
DB03771,Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine,experimental,412.32,1
DB03772,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol",experimental,248.316,1
DB03773,alpha-D-quinovopyranose,experimental,164.1565,5
DB03774,Glutamyl Group,experimental,132.1378,0
DB03775,D-Dethiobiotin,experimental,214.2615,3
DB03776,Lactaldehyde,experimental,74.0785,0
DB03777,Rbt205 Inhibitor,experimental,412.4837,3
DB03779,Glucosaminyl-(Alpha-6)-D-Myo-Inositol,experimental,341.3117,1
DB03780,2-Aminoquinazolin-4(3h)-One,experimental,161.1607,1
DB03781,"2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid",experimental,327.159,1
DB03782,N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea,experimental,341.4506,1
DB03783,Phenacetin,withdrawn,179.2157,1
DB03784,Elaidoylamide,experimental,281.4766,1
DB03785,"(3r,5r)-7-((1r,2r,6s,8r,8as)-2,6-Dimethyl-8-{[(2r)-2-Methylbutanoyl]Oxy}-1,2,6,7,8,8a-Hexahydronaphthalen-1-Yl)-3,5-Dihydroxyheptanoic Acid",experimental,422.5549,1
DB03787,"[5-hydroxy-6-methyl-4-({[(4E)-3-oxo-1,2-oxazolidin-4-ylidene]amino}methyl)pyridin-3-yl]methyl dihydrogen phosphate",experimental,331.2185,1
DB03788,GC-24,experimental,376.445,1
DB03789,"2,3-Dimethylimidazolium Ion",experimental,97.1384,0
DB03790,S-Dioxymethionine,experimental,181.21,1
DB03791,"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",experimental,582.052,1
DB03792,"5-Amino-1h-Pyrimidine-2,4-Dione",experimental,127.1014,1
DB03793,Benzoic Acid,approved;investigational,122.1213,16
DB03794,Trifluoroalanine,experimental,143.0646,0
DB03795,2-Dehydropantoate,experimental,146.1412,1
DB03796,Palmitic Acid,approved,256.4241,12
DB03797,3-Aminomethyl-Pyridinium-Adenine-Dinucleotide,experimental,649.4416,0
DB03798,2'-Deoxycytidine-5'-Monophosphate,experimental,307.1971,2
DB03799,Trifluoromethionine,experimental,203.183,2
DB03800,Deoxyuridine monophosphate,experimental,308.1819,8
DB03801,Lysine Nz-Carboxylic Acid,experimental,190.1971,19
DB03802,"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",experimental,439.5918,1
DB03803,Inhibitor Msa367,experimental,768.8977,1
DB03804,5-Bromothienyldeoxyuridine,experimental,389.222,1
DB03807,"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",experimental,278.734,1
DB03808,Hexamidine,experimental,354.446,2
DB03809,9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,experimental,311.3815,1
DB03810,3-Methylglutamic acid,experimental,161.1558,0
DB03811,Histidinol,experimental,142.181,2
DB03812,"3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",experimental,440.2998,1
DB03813,2-Decenoyl N-Acetyl Cysteamine,experimental,271.419,2
DB03814,2-(N-Morpholino)-Ethanesulfonic Acid,experimental,195.237,39
DB03815,Fucitol,experimental,166.1724,1
DB03816,Difluoromethionine,experimental,185.192,1
DB03817,"L-2,4-diaminobutyric acid",experimental,118.1344,1
DB03818,N-[Tosyl-D-Prolinyl]Amino-Ethanethiol,experimental,328.45,1
DB03819,Salicylhydroxamic Acid,experimental,153.1354,0
DB03820,"(2s,5r,6r)-6-{[(6r)-6-(Glycylamino)-7-Oxido-7-Oxoheptanoyl]Amino}-3,3-Dimethyl-7-Oxo-4-Thia-1-Azabicyclo[3.2.0]Heptane-2-Carboxylate",experimental,429.468,1
DB03821,2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid,experimental,201.0719,1
DB03822,Ethyl Dihydrogen Phosphate,experimental,126.0483,2
DB03823,Epigallocatechin,experimental;investigational,306.2675,0
DB03824,"7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline",experimental,259.0869,1
DB03825,Rhodamine 6G,experimental,479.02,2
DB03826,"5,6-Diaminouracil",experimental,142.116,0
DB03827,"(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine",experimental,451.5344,1
DB03828,RU78299,experimental,244.1379,1
DB03829,Pseudouridine-5'-Monophosphate,experimental,324.1813,0
DB03830,Phosphorylated Dihydropteroate,experimental,392.2634,1
DB03831,"[(Z)-octadec-9-enyl] (2R)-2,3-bis(oxidanyl)propanoate",experimental,356.5399,0
DB03832,"3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium",experimental,288.403,1
DB03833,"2-Prolyl-5-Tert-Butyl-[1,3,4]Oxadiazole",experimental,223.2716,1
DB03834,"(3S)-3-(dioxidosulfanyl)-N-[(1Z)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine",experimental,302.307,1
DB03835,"N-[(5S,7R,8S,9S,10R)-8,9,10-Trihydroxy-7-(hydroxymethyl)-2,4-dioxo-6-oxa-1,3-diazaspiro[4.5]dec-3-yl]acetamide",experimental,305.2414,1
DB03836,"1,3,5-Trichloro-Benzene",experimental,181.447,1
DB03837,Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide,experimental,527.675,1
DB03839,D-Tyrosine,experimental,181.1885,0
DB03840,Tetra(Imidazole)Diaquacopper (Ii),experimental,367.854,1
DB03841,Y-700,experimental,299.3245,1
DB03842,2-Chloro-6-Methyl-Aniline,experimental,121.1796,1
DB03843,Formaldehyde,approved;vet_approved,30.026,1
DB03844,"N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide",experimental,326.318,1
DB03845,P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate,experimental,911.3272,1
DB03846,5-Hydroxymethyluridine-2'-Deoxy-5'-Monophosphate,experimental,338.2079,1
DB03847,Gamma-Carboxy-Glutamic Acid,experimental,191.1388,3
DB03848,Benzenesulfinic acid,experimental,142.176,1
DB03849,Cilomilast,investigational,343.4168,2
DB03850,Jaspisamide A,experimental,856.998,1
DB03851,Carbazole Butanoic Acid,experimental,253.2958,0
DB03852,Eucalyptol,experimental;nutraceutical,154.2493,0
DB03853,Reactive Red 6 hapten,experimental,1116.01,0
DB03854,"Pentane-1,5-Diamine",experimental,102.1781,1
DB03855,L-Threonohydroxamate 4-Phosphate,experimental,233.1137,1
DB03856,L-Eflornithine,experimental;investigational,182.1685,1
DB03857,"1,4-dithio-beta-D-glucopyranose",experimental,212.287,1
DB03858,S-Acetonylcysteine,experimental,177.221,0
DB03859,1-Thio-Beta-D-Glucopyranose,experimental,196.221,1
DB03860,"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",experimental,525.8054,1
DB03861,"(2r,3r,4s,5r)-2-Acetamido-3,4-Dihydroxy-5-Hydroxymethyl-Piperidinium",experimental,204.2236,2
DB03862,Tetrahydrooxazine,experimental,149.1451,2
DB03863,2-O-methyl fucose,experimental,178.1831,2
DB03864,Monothioglycerol,experimental,108.159,1
DB03865,6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,experimental,362.832,4
DB03866,Prostaglandin G2,experimental,368.4645,1
DB03867,Meta-Nitro-Tyrosine,experimental,226.1861,1
DB03868,3-Dehydroquinic Acid,experimental,190.1507,1
DB03869,5'-O-(N-(L-Seryl)-Sulfamoyl)Adenosine,experimental,433.397,1
DB03870,"Ara-Alpha(1,3)-Xyl",experimental,282.2445,1
DB03871,"lambda-bis(2,2'-bipyridine)imidazole ruthenium (II)",experimental,480.51,1
DB03872,"2,3-Dideoxyfucose",experimental,132.1577,0
DB03874,"(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine",experimental,413.7219,1
DB03876,"Thieno[2,3-B]Pyridine-2-Carboxamidine",experimental,178.234,2
DB03877,AL4623,experimental,369.481,1
DB03878,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,experimental,382.4179,2
DB03879,alpha-L-methyl-fucose,experimental,178.1831,2
DB03880,Batimastat,experimental,477.64,5
DB03881,"(2S,3R,4S,5S)-3,4-Dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium",experimental,297.353,2
DB03882,"5-Alpha-Androstane-3-Beta,17beta-Diol",experimental,292.4562,1
DB03883,Carboxyethyllumazine,experimental,386.3141,0
DB03884,Phenylpyruvic acid,experimental,164.158,6
DB03885,1-Menaphthyl Glutathione Conjugate,experimental,447.505,0
DB03886,Biopterin,experimental,237.2153,3
DB03887,Alpha-Adenosine Monophosphate,experimental,347.2212,1
DB03888,N-Allyl-6-{[3-(4-bromophenyl)-1-methyl-1H-indazol-6-yl]oxy}-N-methyl-1-hexanamine,experimental,456.419,1
DB03889,S-(N-Hydroxy-N-Bromophenylcarbamoyl)Glutathione,experimental,523.356,1
DB03890,N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide,experimental,399.548,1
DB03891,"1,5-Bis(N-Benzyloxycarbonyl-L-Leucinyl)Carbohydrazide",experimental,584.6639,1
DB03892,5-N-Allyl-Arginine,experimental,215.2728,1
DB03893,Thionicotinamide-Adenine-Dinucleotide,experimental,679.491,1
DB03894,N-Propargyl-1(S)-Aminoindan,experimental,171.2383,1
DB03895,Malachite Green,experimental,329.458,1
DB03896,Triphosphoric acid,experimental,257.955,1
DB03897,Hydroxyphenyl Propionic Acid,experimental,166.1739,3
DB03898,3-Chloro-4-Hydroxyphenylglycine,experimental,201.607,0
DB03899,9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,experimental,311.3815,1
DB03900,2-Methyl-2-Propanol,experimental,74.1216,5
DB03901,5-Oxo-Pyrrolidine-2-Carbaldehyde,experimental,113.1146,1
DB03902,Oxalic Acid,experimental,90.0349,1
DB03903,Tmr,experimental,483.5152,1
DB03904,Urea,approved;investigational,60.0553,6
DB03905,Succinamide-Coa,experimental,850.5565,1
DB03906,2-Phenylheme,experimental,692.583,1
DB03907,"N-{3-[5-(6-Amino-Purin-9-Yl)-3,4-Dihydroxy-Tetrahydro-Furan-2-Yl]-Allyl}-2,3-Dihydroxy-5-Nitro-Benzamide",experimental,473.3963,1
DB03908,Inhibitor Bea322,experimental,642.7828,1
DB03909,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",experimental,505.2082,14
DB03910,"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",experimental,282.428,1
DB03911,L-Xylopyranose,experimental,150.1299,1
DB03912,4'-Phosphopantetheine,experimental,358.348,3
DB03913,Coenzyme F420,experimental,773.5926,0
DB03914,"[2-(1-amino-2-hydroxy-propyl)-4-(1H-indol-3-ylmethylene)-5-oxo-4,5-dihydro-imidazol-1-yl]-acetaldehyde",experimental,342.3492,0
DB03915,2-Amino-3-Ketobutyric Acid,experimental,117.1033,1
DB03916,4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine,experimental,423.942,2
DB03917,N-Ethyl Retinamide,experimental,327.5035,0
DB03918,"6S-5,6,7,8-Tetrahydrobiopterin",experimental,241.2471,1
DB03919,Ethyl-Carbamic Acid Methyl Ester,experimental,103.1198,1
DB03920,N-Methyl-Alpha-Beta-Dehydroalanine,experimental,101.1039,0
DB03921,4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,experimental,272.304,1
DB03923,Feruloyl Coenzyme A,experimental,959.702,1
DB03924,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",experimental,270.2402,1
DB03925,Freselestat,experimental;investigational,454.5221,2
DB03926,"5-Alpha-Androstane-3-Beta,17-Alpha-Diol",experimental,292.4562,0
DB03927,Glycyl-L-Alpha-Amino-Epsilon-Pimelyl-D-Alanine,experimental,303.3116,1
DB03928,"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol",experimental,270.692,1
DB03929,D-Serine,approved;experimental,105.0926,4
DB03930,4-Methyl-Pyrroline-5-Carboxylic Acid,experimental,127.1412,0
DB03931,Diguanosine-5'-Triphosphate,experimental,788.4059,1
DB03932,LFA703,experimental,603.7881,1
DB03933,C-1027 Aromatized Chromophore,experimental,847.283,1
DB03934,Protoporphyrin Ix Containing Zn,experimental,626.03,1
DB03935,"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",experimental,274.203,2
DB03936,1-Deoxy-Ribofuranose-5'-Phosphate,experimental,214.1104,1
DB03937,Erythose-4-Phosphate,experimental,200.0838,3
DB03938,Deacetoxycephalosporin-C,experimental,357.382,1
DB03939,"4-Hydroxy-3,4-Dihydro-1h-Pyrimidin-2-One",experimental,114.1026,1
DB03940,Oxamic Acid,experimental,89.0501,6
DB03941,Heptanyl-P-Phenol,experimental,192.2973,0
DB03942,Carboxylic PRPP,experimental,388.0968,3
DB03943,D-Asparagine,experimental,132.1179,0
DB03944,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",experimental,425.501,1
DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",experimental,184.1507,3
DB03946,"3,4-Dihydroxybenzoic Acid",experimental,154.1201,0
DB03947,D-Xylulose,experimental,150.1299,1
DB03948,"6-Chloropurine Riboside, 5'-Monophosphate",experimental,367.66,2
DB03949,(2-Sulfanyl-3-Phenylpropanoyl)-Phe-Tyr,experimental,492.587,1
DB03950,(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,experimental,371.453,1
DB03951,N-acetyl-D-glucosamine-6-phosphate,experimental,301.1877,2
DB03952,9-(6-deoxy-beta-D-allofuranosyl)-6-methylpurine,experimental,280.2798,1
DB03953,L-Thiocitrulline,experimental,191.251,1
DB03955,1-deoxymannojirimycin,experimental,163.1717,1
DB03956,"Inositol 2,4,5-trisphosphate",experimental,420.0956,1
DB03957,SP2456,experimental,534.481,1
DB03958,7-methyl-guanosine-5'-triphosphate-5'-guanosine,experimental,803.4404,2
DB03959,"N,O6-Disulfo-Glucosamine",experimental,339.298,6
DB03960,Cp-Coeleneterazine,experimental,449.499,0
DB03961,"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate",experimental,278.0909,1
DB03962,Nicotinamide 8-Bromo-Adenine Dinucleotide Phosphate,experimental,822.301,1
DB03963,S-(Dimethylarsenic)Cysteine,experimental,225.141,8
DB03964,4-Hydroxy-Aconitate Ion,experimental,187.0838,1
DB03966,Clorobiocin,experimental,697.128,1
DB03967,Dodecyl sulfate,experimental,266.397,2
DB03968,"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",experimental,127.1842,1
